Location,Date,Age,Length
AL,15-May-00,2,132
AL,15-May-00,2,128
AL,15-May-00,2,126
AL,19-May-98,2,130
AL,15-May-00,2,154
AL,15-May-00,2,137
AL,15-May-00,2,115
AL,15-May-00,2,125
AL,15-May-00,2,143
AL,15-May-00,2,126
AL,15-May-00,2,126
AL,15-May-00,2,136
AL,15-May-00,2,116
AL,15-May-00,2,145
AL,15-May-00,2,131
AL,15-May-00,2,118
AL,15-May-00,2,125
AL,17-May-00,2,126
AL,17-May-00,2,130
AL,17-May-00,2,148
AL,17-May-00,2,126
AL,17-May-00,2,127
AL,17-May-00,2,123
AL,17-May-00,2,138
AL,17-May-00,2,141
AL,22-May-00,2,122
AL,22-May-00,2,117
AL,22-May-00,2,125
AL,22-May-00,2,136
AL,22-May-00,2,147
AL,22-May-00,2,140
AL,26-May-00,2,
AL,26-May-00,2,
AL,26-May-00,2,
AL,26-May-00,2,
AL,26-May-00,2,
AL,26-May-00,2,
AL,2-Jun-00,2,157
AL,2-Jun-00,2,151
AL,2-Jun-00,2,120
AL,10-May-94,1,90
AL,11-May-94,1,87
AL,12-May-94,1,86
AL,13-May-94,1,90
AL,14-May-94,1,86
AL,14-May-94,1,
AL,15-May-94,1,89
AL,15-May-94,1,86
AL,15-May-94,1,92
AL,15-May-94,1,85
AL,15-May-94,1,83
AL,15-May-94,1,91
AL,15-May-94,1,
AL,15-May-94,1,
AL,16-May-94,1,89
AL,16-May-94,1,90
AL,16-May-94,1,90
AL,16-May-94,1,87
AL,17-May-94,1,98
AL,17-May-94,1,86
AL,17-May-94,1,110
AL,17-May-94,1,97
AL,17-May-94,1,98
AL,17-May-94,1,106
AL,17-May-94,1,100
AL,17-May-94,1,98
AL,17-May-94,1,101
AL,17-May-94,1,98
AL,17-May-94,1,109
AL,17-May-94,1,100
AL,17-May-94,1,91
AL,17-May-94,1,97
AL,18-May-94,1,85
AL,18-May-94,1,95
AL,18-May-94,1,97
AL,18-May-94,1,94
AL,18-May-94,1,100
AL,18-May-94,1,111
AL,18-May-94,1,109
AL,18-May-94,1,106
AL,18-May-94,1,96
AL,18-May-94,1,99
AL,19-May-94,1,89
AL,19-May-94,1,97
AL,19-May-94,1,99
AL,19-May-94,1,97
AL,19-May-94,1,102
AL,19-May-94,1,106
AL,19-May-94,1,97
AL,19-May-94,1,93
AL,19-May-94,1,100
AL,19-May-94,1,106
AL,20-May-94,1,78
AL,20-May-94,1,83
AL,20-May-94,1,84
AL,20-May-94,1,88
AL,20-May-94,1,93
AL,20-May-94,1,101
AL,20-May-94,1,108
AL,21-May-94,1,83
AL,21-May-94,1,88
AL,21-May-94,1,85
AL,21-May-94,1,83
AL,21-May-94,1,86
AL,21-May-94,1,90
AL,23-May-94,1,89
AL,24-May-94,1,89
AL,24-May-94,1,85
AL,24-May-94,1,94
AL,24-May-94,1,103
AL,24-May-94,1,107
AL,24-May-94,1,101
AL,24-May-94,1,96
AL,24-May-94,1,101
AL,24-May-94,1,95
AL,24-May-94,1,110
AL,25-May-94,1,88
AL,25-May-94,1,88
AL,25-May-94,1,84
AL,25-May-94,1,96
AL,25-May-94,1,102
AL,25-May-94,1,107
AL,25-May-94,1,108
AL,25-May-94,1,105
AL,25-May-94,1,98
AL,25-May-94,1,100
AL,25-May-94,1,107
AL,26-May-94,1,91
AL,26-May-94,1,99
AL,26-May-94,1,97
AL,26-May-94,1,97
AL,26-May-94,1,99
AL,26-May-94,1,109
AL,26-May-94,1,108
AL,26-May-94,1,97
AL,26-May-94,1,108
AL,26-May-94,1,107
AL,27-May-94,1,86
AL,27-May-94,1,104
AL,27-May-94,1,109
AL,27-May-94,1,95
AL,27-May-94,1,96
AL,27-May-94,1,102
AL,28-May-94,1,88
AL,1-Jun-94,1,88
AL,2-May-95,2,152
AL,2-May-95,2,144
AL,4-May-95,2,117
AL,4-May-95,2,121
AL,4-May-95,2,139
AL,4-May-95,2,169
AL,9-May-95,2,173
AL,12-May-95,2,114
AL,12-May-95,2,126
AL,12-May-95,2,121
AL,13-May-95,2,124
AL,13-May-95,2,123
AL,15-May-95,2,116
AL,15-May-95,2,122
AL,15-May-95,2,133
AL,15-May-95,2,137
AL,15-May-95,2,133
AL,15-May-95,2,119
AL,15-May-95,2,129
AL,15-May-95,2,123
AL,15-May-95,2,125
AL,15-May-95,2,124
AL,15-May-95,2,118
AL,15-May-95,2,124
AL,15-May-95,2,123
AL,15-May-95,2,134
AL,15-May-95,2,124
AL,15-May-95,2,126
AL,15-May-95,2,124
AL,15-May-95,2,125
AL,15-May-95,2,123
AL,16-May-95,2,158
AL,17-May-95,2,132
AL,17-May-95,2,126
AL,17-May-95,2,127
AL,17-May-95,2,135
AL,17-May-95,2,142
AL,17-May-95,2,129
AL,18-May-95,2,138
AL,18-May-95,2,123
AL,18-May-95,2,119
AL,18-May-95,2,138
AL,21-May-95,2,133
AL,21-May-95,2,130
AL,22-May-95,2,134
AL,22-May-95,2,132
AL,22-May-95,2,133
AL,23-May-95,2,124
AL,24-May-95,2,94
AL,24-May-95,2,130
AL,25-May-95,2,127
